comparrison,statistic,signif.level,dif.com.obs.dif,dif.com.critical.dif,dif.com.difference
bathydemersal-bathypelagic,Multiple comparison test after Kruskal-Wallis,0.05,1618.2017712334618,1347.2419791430007,TRUE
bathydemersal-benthopelagic,Multiple comparison test after Kruskal-Wallis,0.05,769.283133971292,841.6235748632063,FALSE
bathydemersal-demersal,Multiple comparison test after Kruskal-Wallis,0.05,664.4197798461473,832.819194362453,FALSE
bathydemersal-pelagic,Multiple comparison test after Kruskal-Wallis,0.05,784.9984848484855,1851.4996828825754,FALSE
bathydemersal-pelagic-neritic,Multiple comparison test after Kruskal-Wallis,0.05,1040.4358447924633,823.9145585492214,TRUE
bathydemersal-pelagic-oceanic,Multiple comparison test after Kruskal-Wallis,0.05,1633.5690856884612,810.1675180274741,TRUE
bathydemersal-reef-associated,Multiple comparison test after Kruskal-Wallis,0.05,1353.6791989814765,829.8039700334375,TRUE
bathypelagic-benthopelagic,Multiple comparison test after Kruskal-Wallis,0.05,848.9186372621698,1119.7064997443879,FALSE
bathypelagic-demersal,Multiple comparison test after Kruskal-Wallis,0.05,953.7819913873145,1113.1038650111816,FALSE
bathypelagic-pelagic,Multiple comparison test after Kruskal-Wallis,0.05,833.2032863849763,1993.3548303095922,FALSE
bathypelagic-pelagic-neritic,Multiple comparison test after Kruskal-Wallis,0.05,577.7659264409986,1106.4572308018346,FALSE
bathypelagic-pelagic-oceanic,Multiple comparison test after Kruskal-Wallis,0.05,15.36731445499936,1096.2590072930318,FALSE
bathypelagic-reef-associated,Multiple comparison test after Kruskal-Wallis,0.05,264.52257225198537,1110.8496894213724,FALSE
benthopelagic-demersal,Multiple comparison test after Kruskal-Wallis,0.05,104.86335412514472,363.6887483868658,FALSE
benthopelagic-pelagic,Multiple comparison test after Kruskal-Wallis,0.05,15.715350877193487,1693.1428678404422,FALSE
benthopelagic-pelagic-neritic,Multiple comparison test after Kruskal-Wallis,0.05,271.15271082117124,342.80737301586475,FALSE
benthopelagic-pelagic-oceanic,Multiple comparison test after Kruskal-Wallis,0.05,864.2859517171692,308.3068316977055,TRUE
benthopelagic-reef-associated,Multiple comparison test after Kruskal-Wallis,0.05,584.3960650101844,356.7300434333136,TRUE
demersal-pelagic,Multiple comparison test after Kruskal-Wallis,0.05,120.57870500233821,1688.783686459565,FALSE
demersal-pelagic-neritic,Multiple comparison test after Kruskal-Wallis,0.05,376.01606494631596,320.58456564070633,TRUE
demersal-pelagic-oceanic,Multiple comparison test after Kruskal-Wallis,0.05,969.1493058423139,283.39137461200085,TRUE
demersal-reef-associated,Multiple comparison test after Kruskal-Wallis,0.05,689.2594191353292,335.430905882174,TRUE
pelagic-pelagic-neritic,Multiple comparison test after Kruskal-Wallis,0.05,255.43735994397775,1684.4102021012552,FALSE
pelagic-pelagic-oceanic,Multiple comparison test after Kruskal-Wallis,0.05,848.5706008399757,1677.7288030013167,FALSE
pelagic-reef-associated,Multiple comparison test after Kruskal-Wallis,0.05,568.6807141329909,1687.2987755097458,FALSE
pelagic-neritic-pelagic-oceanic,Multiple comparison test after Kruskal-Wallis,0.05,593.1332408959979,256.04308327957744,TRUE
pelagic-neritic-reef-associated,Multiple comparison test after Kruskal-Wallis,0.05,313.2433541890132,312.66800589726023,TRUE
pelagic-oceanic-reef-associated,Multiple comparison test after Kruskal-Wallis,0.05,279.8898867069847,274.4038800549442,TRUE
